lem,derivitive,valid
مزرعه,مزرعه‌جات,بله
باربد,باربد,بله
نرم,نرمک,بله.
لوتوس,لوتوس‌محور,بله
چمن,چمن‌پوش,بله
آسیا,آسیایی‌زاده,بله
بیجار,بیجارچی,بله
غذا,غذاخوری,بله
آستارا,آستارایی‌مآب,خیر.
مبارک,مبارک‌فطرت,بله
صف,صفه,بله
ترانس,ترانسکشن,خیر.
قطعه,قطعه‌شناسی,بله
ماهی,ماهی‌پز,بله
راد,رادیکالیزم,خیر.
دکتری,دکتری,بله
بهره,بهره‌برداری,بله
رابین,رابین‌وار,خیر.
آرنیکا,آرنیکا,بله
اورامان,اورامان‌زبان,بله
داور,داورز,بله
ترنم,ترنمی,بله
طرق,مستطرق,بله
نوشهر,نوشهرستان,بله
خاک,خاک,بله
نمایشگاه,نمایشگاه‌محور,خیر
نگین,نگینی,بله
ولید,مولا,تکراری
شفا,شفا,تکراری
زین,زینت‌ورز,بله
فاراب,فارابانه,خیر
صوم,صائم,بله
ظفر,ظفرساز,بله
تراش,تراشندگی,بله
پارسوماش,پارسومشی,خیر.
گرد,گردسوز,بله
ریحان,ریحان‌فروش,بله
فجر,افجار,بله
سلیمان,سلیمان‌وار,خیر.
پنبه,پنبه‌کاری,بله
دهلران,دهلانی,بله
قند,قندم,بله
سبح,سبحان,بله
ایلیا,ایلیاییانگی,بله.
مؤسس,مؤسساتی,بله
کربلا,کربلایی,تکراری
راو,راویان,بله.
نار,نارین,بله
خواجه,خواجه‌نشین,بله
اردل,اردل‌پژوهی,بله
دریا,دریایی,خیر
کمپانی,کمپانی‌نشین,بله
کبیر,کبیرزاده,بله
زهر,زهره,تکراری
اشتهارد,اشتهاردی‌وار,بله
اسوه,اسوه‌ای,خیر
سالار,سالار,بله
ذهب,مذهب,خیر.
رشد,رشد,بله
یار,همیاران,بله
ساختن,ساخته,بله
عبد,عبداله,بله
عصر,عصرزدگی,بله
بوکان,بوکان,بله
علت,علتی,خیر
حد,حدس,بله.
شاهین,شاهین‌پر,بله
حجت,حجت‌الاسلامی,بله
تاراز,تاراز,بله
تاج,تاجوران,بله
طاق,طاقچه,بله
یاس,یاسکوهی,خیر.
زهرا,زهره‌پرور,بله
آهنگ,آهنگ‌پژوه,بله
تفرش,تفرش,بله
درود,درودگر,بله
تقی,تقی‌خان,خیر.
پلاستیک,پلاستیک‌کار,بله
فروز,فروزنده,تکراری
فاطمه,فاطمی,بله
فرزانه,فرزانه,تکراری
تبر,تبرکوهی,بله
مهربان,مهربانم,بله
شباهنگ,شباهنگی,بله
عظمت,عظمى,بله
ویژن,ویژن‌سازی,بله
شهر,مشاهیر,خیر
کفش,کفش‌کشی,بله
سانیار,سانیارساز,خیر
در,درخت,تکراری
سوار,سواربند,بله
شار,شارستان,بله
سپند,سپندک,بله
نظم,نظم‌مند,بله
چمران,چمران‌سازی,خیر
سرام,سرامیک‌پوش,بله
لاهیجان,لاهیجان‌گردی,بله
رقی,رقیب,بله
بره,بره‌خواب,بله
محمد,محمّدیه,بله
مراغه,مراغه‌ساز,خیر.
پختن,پخت‌پز,بله
سرام,سرامیک‌فروشی,بله
طیف,طیف‌مندی,بله
حمد,حمدلله,بله
احداث,احداث‌محور,بله
میناب,میناب,تکراری
مسجد,مسجودوار,بله
صدا,صدا,تکراری
غلام,غلامی‌نشین,بله
سانیار,سانیارنامه,خیر
نجم,نجم‌ساز,بله
سیه,سیاه,بله.
عرص,عرصة,بله
درفک,درفکانه,خیر.
آوان,آوانس‌دهی,خیر
داش,داشمند,خیر
زر,زرین,تکراری
گلدیس,گلدانی,خیر.
آریا,آریاستان,بله.
امام,الائمه,بله.
آکام,آکامور,بله.
رستاک,رستنگر,خیر.
صدق,مصداق,بله
اراک,اراک‌پژوه,بله
هشت,هشت,بله
راو,راویانه,بله
بابل,بابل‌پژوهی,بله
بیش,بیش‌ازحد,خیر
آویختن,آویختننده,بله
زرد,زردک,بله
هور,هورپناه,بله
مهیا,مهیا,تکراری
حفظ,حفاظ,تکراری
ثمن,ثمن‌سنج,بله
بازرگان,بازرگانی,بله
بنا,بنایانید,بله
صبح,صبح‌گاهی,بله
اطمینان,اطمینان,تکراری
سراب,سراب‌وار,بله
خوز,خوزش,خیر
نگر,نگهداری,بله
خیز,خیزید,خیر
حفاری,حفاری‌پذیر,بله
" اکسیر",اکسیرشناسی,بله
میان,میان‌سالی,بله
اندیشیدن,اندیشیانه,بله
کفش,کفش‌دار,بله
برگ,برگ‌ریزان,بله
نفس,نفیس,بله
خیابان,خیابان,بله
نو,نوین,بله
گراف,گرافیک‌سازی,بله
ارجان,ارجح,خیر
باف,بافی,بله
لاله,لاله‌گون,بله
پشت,پشتکار,خیر
هیرکان,هیرکانشناس,بله
آمایش,آمایش‌پذیری,بله
بلوط,بلوط‌زار,بله
ایو,ایویدگی‌تان,خیر.
سکون,سکونت‌گاه,بله
یاشار,یاشارزاده,بله
ماشین,ماشینهای,خیر
داد,دادنامه,تکراری
تایر,تایرپوش,بله
اقلیدس,اقلیدس‌گونه,خیر
قشلاق,قشلاق‌زده,بله
نبوت,نبی‌زاده,تکراری
صنع,مصنوع,بله
راهبرد,راهبردسازی,بله
داوود,داوودگر,بله.
زاد,زادگاه,تکراری
بر,برقراری,بله
گهر,گهربارگی,بله
فریمان,فریمانگر,بله
طاق,طاق‌زنی,بله
حق,حقوقی,بله
گله,گله‌مندی,خیر.
سرمایه,سرمایه‌گذاری‌مدار,بله
فانوس,فانوس‌نگار,بله
پیشتاز,پیشتازگر,بله
حمید,حامد,تکراری
هنگ,هنگور,بله.
عروج,عروج‌پذیر,بله
آذر,آذربود,بله
هوش,هوش‌افزا,بله
ارزش,ارزش‌شناسی,بله
بابل,بابلسر,بله.
آیدا,آیدایی,خیر.
شورا,شورایی,بله
دال,دالاهو,بله.
فلاحت,فلاحت‌پژوه,بله
نمایشگاه,نمایشگر,خیر
رستوران,رستوران‌دار,بله
دیلم,دیلم‌نژاد,بله
آدنیس,آدنیس‌پرست,بله.
قطعه,قطعه‌سنج,بله
آمل,آملی‌مآب,بله
سلم,سلیقه,خیر.
سیمرغ,سیمرغیانه,بله
سلیم,سلامتی,تکراری
حمایت,حمایت‌طلب,تکراری
استهبان,استهبان‌وار,بله
سپهر,سپهرگرا,بله
نورا,نورافکن,تکراری
دلفان,دلفان‌وار,بله
فر,فرش,خیر
اعتیاد,اعتیادپذیر,بله
پرسش,پرسش‌ساز,بله.
راه,راهبرد,خیر
شاهین,شاهین‌وار,بله
مخابره,مخابره‌نما,بله
" پلاست",پلاستیک‌پوشی,بله
توسعه,توسعه,بله
پرواز,پروازپذیر,بله
برق,برقی,خیر
حمد,حمدپرور,بله
ریل,ریل,تکراری
سوم,سومیانه,تکراری
صدف,صدف‌چین,بله
آتا,آتافرو,خیر
قشلاق,قشلاقی‌سازی,بله
هخامنش,هخامنش,بله
سرفراز,سرفرازانه‌گی,بله
ایثار,ایثارگرانه,تکراری
ستاره,ستاره‌دار,بله
خور,خور,بله
لیمیتد,محدودیت‌ها,خیر
اردکان,اردکانه‌ای,بله
خمین,خمینی‌مآب,بله
نگار,نگاره,بله
میدان,میدان‌سازی,بله
بن,بنادر,خیر.
به,بهیچگاه,خیر.
آساک,آسایشگر,خیر
سازنده,سازندگیشان,تکراری
مدن,مدن‌مدار,بله
دیر,دیرگاه,بله.
هوا,تهویه,بله
پارس,پارسی,بله
هدیه,هدیه‌پذیر,بله
زار,زارنگار,بله
نگه‌داشتن,نگه‌داشت,بله
اسس,اساس‌گرایی,خیر.
شفا,شفا,تکراری
ریسندگی,ریسندگی‌کردن,بله
بردسک,بردسک‌نشین,بله
فرآور,فرآور,بله
پترا,پترو,تکراری
سرد,سردی,بله.
سیال,سیال‌سازی,بله
آرتا,آرتا,تکراری
نهبند,نهبندیدگی,خیر
پوشیدن,پوشش‌دار,تکراری
سهم,سهم‌خواه,بله
افشین,افشینان,بله
علت,معلولین,خیر
سیمرغ,سیمرغ‌نما,بله
هتف,هتف‌نگار,بله
شاد,شاداب,تکراری
پیشرو,پیشروان,بله
بردسک,بردسکانی,بله
بان,بانور,بله.
رستوران,رستوران‌پذیر,بله
زل,زلال,خیر.
پاد,پادکست,خیر
فریدون,فریدون‌سرا,خیر
رویان,رویش,بله
ارژن,ارژینیسم,خیر.
قریه,قریه‌نشینی,بله
رزن,رزن‌نامه,خیر
شیک,شیک‌زبان,خیر.
کلان,کلانی,بله
پلاست,پلاستیک‌ساز,تکراری
سهم,سهامی,بله
رایکا,رایکانه‌وار,خیر
مجری,مجری‌پرور,بله
کله,کله‌زرد,خیر
فراورده,فراورده‌ساز,بله
لرد,لردیگری,بله.
نام,نامساز,بله
غنچ,غنچک‌زده,بله
کیش,کیش‌ور,خیر.
اهر,اهرم‌دار,خیر
شاهکار,شاهکارسازی,بله
سبزه,سبزین,تکراری
افران,افراور,تکراری
ایتوک,ایتوک‌پندار,خیر.
سلول,سلولی,بله
آقموقوفه,آقایی,تکراری
عون,تعاون,تکراری
لال,لالچ,خیر.
قه,قهستان,بله
نمک,نمکین,بله
زعفر,زعفران‌زار,بله
آریا,آریاچهر,بله.
قلعه,قلعه‌نشین,بله
وقف,موقوفه,تکراری
رعد,رعدساز,بله
کشور,کشور,بله
بهرام,بهرام‌فر,بله
کلبه,کلبه‌نشینی,بله
فضل,فضل‌کردن,بله
کارگزار,کارگزارگر,بله
درس,مدرسه,خیر
طاها,طاهریه,خیر
آوند,آوندیسم,بله
حبوب,حبوبی,بله
ترنج,ترنجستان,بله
گردش,گردشگری,بله
اهورا,اهوراگشت,بله.
ملل,المللی,بله
امیر,امیرنشین,تکراری
سبز,سبزینه,بله
مهاباد,مهابادگی,خیر
ترابری,ترابری‌گرا,بله
سارا,سارا,بله
بردسیر,بردسیرزاده,بله
تأمین,تأمین‌کننده‌گی,بله
هشترود,هشترودخانه,بله
درویش,درویش‌منش,بله
پدید,پدیدارنده,بله
بیله,بیل‌دار,خیر.
پاشا,پاشاوار,خیر
ترنم,ترنمی‌خوان,بله
مهرداد,مهردادوار,بله
سراب,سراب‌پندار,بله
جعفر,جعفری,خیر.
قصر,قصرنشین,بله
ارزش,ارزشمندانه,بله
آور,آورید,بله
دید,دیدگاه‌سازی,بله
اردبیل,اردبیل‌گر,بله
نفع,نفع‌زا,بله
مکانیک,مکانیزاسیون,بله
شیمی,شیمی‌صنعتی,بله
ایساتیس,ایساتیس‌دار,بله
زمان,زمان‌شناسی,بله.
گور,گورستان,بله
آتا,آتای,بله
شاد,شادنگر,بله
غلام,غلامی‌ساز,بله
طاوس,طاوس‌گونه,بله
آقموقوفه,مقوفه,خیر
فطر,فطرکاری,بله
تدبیر,تدبیر,تکراری
بانک,بانکی,تکراری
استیل,استیل‌برش,خیر
دنیا,دنیامشغول,بله
تاو,تاو,تکراری
شمیران,شمیران‌محور,بله
احداث,احداث‌گر,بله
خاصیت,خاصه,بله.
فرزین,فرزین‌دوست,بله
امام,امامت,بله.
ابیورد,ابیوردی‌ها,بله
حج,احج,خیر.
فرهنگ,فرهنگیان,خیر.
آساک,آسایش,خیر.
علوی,علوی‌تبار,بله
نواندیشان,نواندیشانه,تکراری
صید,صیادی,بله
بهنام,بهنام‌گر,بله
خلف,خلفیّت,بله
شهریار,شهریارانه‌گی,بله
بارثاوا,بارثاوا,تکراری
سیر,سیراب,خیر
عصم,عاصمیت,تکراری
صید,صیدپیشه,بله
نماینده,نماینده‌وار,بله
ولادت,میلاد,بله
هخامنش,هخامنشی‌زاده,بله
فردا,فرداوند,خیر
حدید,حدیدوار,بله
راشین,راشینیان,خیر.
شمیران,شمیران‌سرا,بله
عزت,عزت‌پایه,بله
صرف,مصرف,بله
جنوب,جنوبی,تکراری
صحرا,صحرا,بله
صدق,صدق‌محور,بله
رخش,رخشوران,بله
کمان,کمان‌ساز,بله
ثمر,ثمرور,بله
آوردن,فرآورده,تکراری
فیض,فیض‌پذیر,بله
سبز,سبزک,بله
هیراد,هیرادی,خیر
احمد,حامد,تکراری
سفال,سفال‌ساز,بله
طلا,طلاور,بله
موزاییک,موزاییک‌کاری‌شده,بله
شبکه,شبکه‌پهن,بله
عرص,عریض,بله
رزم,رزمی,بله
داغ,داغی‌پرست,بله
" پلاست",پلاستیک‌پوشاننده,بله
هوش,هوش‌کده,بله
کاشانه,کاشانه‌سازی,تکراری
تخصص,تخصصی‌سازی,بله
گچ,گچساران,بله
سورن,سورانی,خیر.
غدیر,غدیرنگاری,بله
البرز,البرزستان,بله
فرهیختگی,فرهیختگان,تکراری
کوشش,کوشید,خیر
گشتن,گشت‌زنی,بله
گوهر,گوهرین,بله
خامنه,خامنه‌پرست,بله
اهورا,اهورامزدا,بله.
رحمت,رحمت‌ساز,بله
آیدین,آیدین‌پرست,بله.
خالی کردن,خالی‌سازی,بله
شهد,شهیدان,تکراری
شاهین,شاهین‌کوه,خیر
پختن,نپخته,بله
خواف,خواف,تکراری
فرآور,فرآوری,تکراری
بوشهر,بوشهروند,بله.
داریوش,داریوش‌وار,بله
سام,سامی‌زاده,بله
تار,تارچین,خیر
یگانگی,یگانگی‌مدار,بله
کودک,کودک,تکراری
تربیت,تربیت‌پذیر,بله
نمونه,نمونه‌برداری,بله
آینده,آینده‌سنج,بله
نهاوند,نهاوندی‌زاده,بله
دشت,دشت,بله
فانوس,فانوس‌دار,بله
صدور,صدور,تکراری
ولی,مولوی,خیر.
اعتماد,اعتماد,بله
اوری,اوریانه,خیر.
هریس,هریسک,خیر.
ساسان,ساسانی‌نژاد,بله.
آسفالت,آسفالت‌زن,بله
تازگی,تاز,خیر
نواندیشان,نواندیشی‌گر,تکراری
بهراد,بهرادگی,خیر
وفا,وفا,تکراری
پیشتاز,پیشتازی,بله
تأمین,تأمین‌طلب,بله
لرد,لردیابی,خیر.
نما,نمایندگی,تکراری
دای,دایورسیته,خیر.
رابین,رابینی,خیر.
احمد,محمد,بله.
پاینده,پاینده,تکراری
ساتراپ,ساتراپ‌گونه,بله
ماسال,ماسالیدگی,بله
سحر,سحر,بله
خواجه,خواجه‌سرا,بله
ورزش,ورزشی,خیر.
استقلال,استقلال‌طلبی,بله
رای,رایگان,خیر
نیل,نیل,تکراری
کرمانشاه,کرمانشاه,تکراری
گتوند,گتوندی‌مآب,بله
ملایر,ملایری‌زبان,بله.
تراش,تراشیدن,تکراری
تکیه,تکیه‌گاهي,تکراری
صید,صیدگری,بله
حجت,حجت,تکراری
ارک,ارکیداسیون,بله.
بناب,بنابانه,بله.
فردیس,فردیس‌نویس,بله
گسترش,گسترده,تکراری
منگشت,منگشتیدگی,خیر
حساب,محاسب,بله
اراک,اراک‌نشین,بله
مدیر,مدیرپروری,بله
دال,دلیری,خیر
طلب,طالب,تکراری
سرمد,سرمدیت,بله
آیسان,آیسان,بله
پارمیس,پارمیسک,بله
پلاک,پلاک,تکراری
شعله,شعله‌خیز,بله
رسو,رسوایی‌زدایی,بله
مسکن,مسکونی,بله
ره,رهایی,بله
اقبال,اقبال,تکراری
شفا,شفا,تکراری
سپید,سپید,بله
رواق,رواقی‌گری,بله
مبنا,مبنایی‌پژوهی,بله
شاهین,شاهین‌دل,بله
ثبت,ثبت‌نامی‌تان,بله
کاووس,کاووس‌گر,خیر
عمران,عمران,تکراری
آیدا,آیداوارگی,خیر.
ماده,مادام,خیر.
ممیز,ممیزان,بله
پروار,پروار,تکراری
سرما,سرماشناسی,بله
ابن,ابنیه‌سازی,خیر
